,name,ra,dec,discovery_date,z,json_path
0,AT2022cmc,203d40m48.105s,33d13m00.54s,59621.45,1.19325,/home/nfranz/astro-otter/dev/test-data/AT2022cmc.json
1,AT2020vwl,232d39m27s,26d58m56.9s,59132.73,0.0325,/home/nfranz/astro-otter/dev/test-data/AT2020vwl.json
2,CNSS J0019+00,4d56m50.02557s,0d35m26.8102s,56580.0,0.018,/home/nfranz/astro-otter/dev/test-data/CNSS-J0019+00.json
3,ASASSN-15oi,309d47m16.44s,-30d45m20.71s,57248.2,0.0484,/home/nfranz/astro-otter/dev/test-data/ASASSN-15oi.json
4,Sw J1112-82,167d56m54s,-82d38m44.44s,55729.5,0.89,/home/nfranz/astro-otter/dev/test-data/Sw-J1112-82.json
5,XMMSL1 J0740-85,115d02m02.85s,85d39m31.25s,56748.0,0.0173,/home/nfranz/astro-otter/dev/test-data/XMMSL1-J0740-85.json
6,AT2019azh,123d19m14.055s,22d38m53.8s,58536.02,0.022,/home/nfranz/astro-otter/dev/test-data/AT2019azh.json
7,Sw J2058+05,314d34m58.5s,5d13m32s,55698.0,1.1853,/home/nfranz/astro-otter/dev/test-data/Sw-J2058+05.json
8,Sw J1644+57,251d12m28.9695s,57d34m59.6893s,55648.54,0.354,/home/nfranz/astro-otter/dev/test-data/Sw-J1644+57.json
9,AT2018hyz,151d42m43.125s,1d41m33.96s,58428.64,0.0457,/home/nfranz/astro-otter/dev/test-data/AT2018hyz.json
10,AT2019dsg,314d15m44.55s,14d12m15.86s,58582.46,0.051,/home/nfranz/astro-otter/dev/test-data/AT2019dsg.json
11,IGR J12580+0134,194d31m16.5s,1d34m26s,55572.0,0.00411,/home/nfranz/astro-otter/dev/test-data/IGR-J12580+0134.json
12,ASASSN-14li,192d03m48.3795s,17d46m26.475s,56983.0,0.0206,/home/nfranz/astro-otter/dev/test-data/ASASSN-14li.json
13,AT2020opy,239d06m25.92s,23d22m21.15s,59038.23,0.159,/home/nfranz/astro-otter/dev/test-data/AT2020opy.json
14,ARP 299-B AT1,172d07m44.8125s,58d33m40.783s,53401.0,0.010411,/home/nfranz/astro-otter/dev/test-data/ARP-299-B-AT1.json
