,name,alias,ra,dec,refs,discovery_date,hasPhot,hasSpec,json_path,z
0,2019pqt,"['MAXI J1807+132', '2019pqt', 'Gaia19dya']",272d01m53.235s,13d15m05.4s,"['2017ATel10216....1K', '2011ApJ...737..103S', '2017ApJ...835...64G', '2019TNSTR1760....1H']",2017-03-27 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/MAXI-J1807+132.json,
1,SDSSJ1323,['SDSSJ1323'],200d55m29.55s,48d27m01.26s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2007A&A...462L..49E', '2017ApJ...835...64G']",2003-12-02 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/SDSSJ1323.json,0.08754
2,AT2016ezh,"['AT2016ezh', 'CSS160902:015805-005222', 'SN2016ezh', 'PS16dtm', 'PS16dtm (2016ezh)']",29d31m15s,-0d52m22s,"['2017arXiv170307816B', '2017ApJ...843..106B', '2016A&A...594A..13P', '2014Ap&SS.354...89B', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W']",2016-08-26 15:07:12.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2016ezh.json,0.08
3,SDSSJ0748,['SDSSJ0748'],117d05m10.05s,47d12m14.23s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G']",,True,False,/home/nfranz/astro-otter/otterdb/.otter/SDSSJ0748.json,0.0615
4,2017bcc,"['AT2017bcc', 'SN2017bcc', '2017bcc', 'ZTF20aacbwbm', 'PS17bgn']",172d58m15.6s,29d59m45.24s,"['2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017TNSTR.220....1C', '2017TNSCR.221....1B']",2017-02-18 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/SN2017bcc.json,0.148
5,2016fnl,"['AT2016fnl', '2016fnl', 'iPTF16fnl']",7d29m15.6s,32d53m37.5s,"['2017ApJ...844...46B', '2017ApJ...838..149A', '2016ATel.9433....1G', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W', '2016TNSTR.611....1K', '2016TNSCR.615....1Y']",57629.422997685186,True,False,/home/nfranz/astro-otter/otterdb/.otter/iPTF16fnl.json,0.016328
6,2022cmc,"['AT2022cmc', 'ZTF22aaajecp', '2022cmc']",203d40m48.105s,33d13m00.54s,"['2022Natur.612..430A', '2022TNSTR.397....1A']",59621.45,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022cmc.json,1.19325
7,PTF09djl,['PTF09djl'],248d28m59.1s,30d14m16.3s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W']",2009-07-24 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/PTF09djl.json,0.184
8,ASASSN-14ae,"['ASASSN-14ae', 'iPTF14aiv']",167d10m01.65s,34d05m52.4s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014MNRAS.445.3263H', '2014ApJ...793...38A', '2014ATel.5831....1P', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W']",2014-01-25 12:14:24.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/ASASSN-14ae.json,0.043671
9,iPTF16axa,['iPTF16axa'],255d53m35.4s,30d35m36.8s,"['2017ApJ...842...29H', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W']",2016-05-29 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/iPTF16axa.json,0.108
10,J142401,['J142401'],216d00m24.9s,29d50m28.4s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-04-26 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/J142401.json,0.0855
11,RX J1242-11A,['RX J1242-11A'],190d39m38.25s,-11d19m20.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '1999A&A...349L..45K', 'MAST', '2017ApJ...835...64G']",1992-07-15 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/RX-J1242-11A.json,0.05
12,NGC 247,['NGC 247'],11d47m09.6s,-20d45m36s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015ApJ...807..185F', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/astro-otter/otterdb/.otter/NGC-247.json,0.000531
13,2020vwl,"['AT2020vwl', '2020vwl', 'Gaia20etp', 'ATLAS20bdgk', 'ZTF20achpcvt']",232d39m27s,26d58m56.9s,"['2023MNRAS.522.5084G', '2020TNSTR3089....1H', '2021TNSCR.159....1H', ' 2023TNSCR2004....1Y']",59132.73,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020vwl.json,0.0325
14,2020zeb,"['ASASSN-20mi', 'AT 2020ual', 'Gaia20fct', '2020zeb']",318d55m04.65s,-49d04m36s,"['ASAS-SN Supernovae', '2020TNSTR3418....1H']",2020-09-23 00:14:24.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/ASASSN-20mi.json,
15,J130819,['J130819'],197d04m46.8s,43d45m25.6s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-04-14 00:00:00.000,True,False,/home/nfranz/astro-otter/otterdb/.otter/J130819.json,0.0365
16,J233454,['J233454'],353d43m31.05s,14d57m12.8s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/astro-otter/otterdb/.otter/J233454.json,0.107
