TDE Name	Discovery Date	Host Name	Host R.A.	Host Decl.	z	References	
	(yyyy/mm/dd)(References)		(J2000 hh:mm:ss)	(J2000 dd:mm:ss)			
2MASX J01190869-3411305	2010/07/14 (Miniutti et al. (2019))	GSN 069	01:19:08	-34:11:30	0.018	Miniutti et al. (2019)	
2XMM J123103.2+110648 ^a	2003/07/13 (Lin et al. 2012)	GJ1231+1106	12:31:03	+11:06:48.64	0.11871	Lin et al. (2012, 2013, 2017a), Ho et al. (2012)	
2XMMi J184725.1-631724	2006/09/01 (Lin et al. 2011)	IC 4765-f01-1504	18:47:25	-63:17:25	0.0353	Lin et al. (2011, 2018b)	
3XMM J150052.0+015452 ^a	2005/07/23 (Lin et al. 2017b)	SDSS J150052.07+015453.8	15:00:52.07	+01:54:53.8	0.145	Lin et al. (2017b)	
3XMM J152130.7+074916 ^a	2000/08/23 (Lin et al. 2015)	SDSS J152130.72+074916.5	15:21:31	+07:49:16.52	0.17901	Lin et al. (2015), Auchettl et al. (2017), Saxton et al. (2021)	
3XMM J215022.4-055108 ^a	2005/05/01 (Lin et al. 2018a)	6dFGS gJ215022.2-055059	21:50:22	-05:51:08	0.055	Lin et al. (2018a)	
ASASSN-14ae	2014/01/25 (Holoien et al. 2014)	SDSS J110840.11+340552.2	11:08:40	+34:05:52.23	0.043671	Holoien et al. (2014), Auchettl et al. (2017)	
ASASSN-14li	2014/11/22 (Jose et al. 2014)	SDSS J124815.23+174626.4	12:48:15	+17:46:26.44	0.0206	Jose et al. (2014)	
ASASSN-15lh	2015/06/14 (Nicholls et al. 2015)	APMUKS (BJ) B215839.70-615403.9	22:02:15	-61:39:35	0.2326	Nicholls et al. (2015), Auchettl et al. (2017)	
ASASSN-15oi	2015/08/14 (Brimacombe et al. 2015)	2MASX J20390918-3045201	20:39:09	-30:45:20	0.0484	Brimacombe et al. (2015)	
ASASSN-20il	2020/07/08 (Brimacombe et al. 2020)	ESO 486-G 017	05:03:11	-22:48:52	0.015841	Shappee et al. (2014), Brimacombe et al. (2020)	
AT 2016ezh	2016/08/26 (Blanchard et al. 2017)	SDSS J015804.75-005221.8	01:58:05	-00:52:22	0.0804	Blanchard et al. (2017), Kankare et al. (2017b), Hinkle et al. (2012)	
AT 2017eqx	2017/06/07 (Nicholl et al. 2019)	SDSS J222648.38+170852.2	22:26:48	+17:08:52	0.1089	Nicholl et al. (2019)	
AT 2018fyk	2018/09/08 (Wevers et al. 2018)	LCRS B224721.6-450748	22:50:16.14	-44:51:53.6	0.059	Wevers et al. (2018, 2021), Wevers (2020)	
AT 2018zr	2018/03/06 (Holoien et al. 2019)	SDSS J075654.53+341543.6	07:56:55	+34:15:43.6	0.071	Holoien et al. (2019), van Velzen et al. (2019), Hung et al. (2019)	
AT 2019azh	2019/02/22 (Stanek 2019)	KUG 0810+227	08:13:17	+22:38:54	0.022346	Stanek (2019), Barbarino et al. (2019), Wevers et al. (2021)	
AT 2019dsg	2019/04/09 (Nordin et al. 2019)	WISEA J205702.96+141216.2	20:57:03	+14:12:20	0.0512	Shappee et al. (2014), Nordin et al. (2019)	
AT 2020ocn	2020/04/29 (Frederick 2020)	SDSS J135353.80+535949.7	13:53:54	+53:59:50	0.0705	Frederick (2020), Gezari et al. (2020), Miller & Reynolds (2020), Pasham et al. (2020), Hammerstein et al. (2021)	
CSS 100217	2002/12/31 (Drake et al. 2011)	SDSS J102912.58+404219.7	10:29:13	+40:42:19.76	0.147	Drake et al. (2011), Auchettl et al. (2017), Kankare et al. (2017b)	
CXOU J0332 ^a	2014/10/01 (Bauer et al. 2017)	CANDELS J033238.77-275133.7	03:32:39	-27:51:34	2.23	Bauer et al. (2017)	
D1-9	2004/06/22 (Gezari et al. 2008)	WISEA J022517.01-043259.1	2:25:17	-4:32:59	0.326	Gezari et al. (2008), Auchettl et al. (2017)	
D23H-1	2007/09/04 (Gezari et al. 2009)	SDSS J233159.53+001714.5	23:32:00	+00:17:14.58	0.1855	Gezari et al. (2009), Auchettl et al. (2017)	
D3-13	2004/01/15(Gezari et al. 2008)	GALEX J141929.8+525206	14:19:30	+52:52:06.37	0.3698	Gezari et al. (2008), Auchettl et al. (2017)	
DES 14C1kia	2014/11/11 (Foley et al. 2015)	Uncataloged, 03:34:47.49-26:19:35.0	03:34:47	-26:19:35	0.162	Foley et al. (2015), Auchettl et al. (2017)	
Dougie	2009/01/17 (Vinko et al. 2014)	SDSS J120847.77+430120.1	12:08:48	+43:01:20.27	0.191	Vinko et al. (2014), Auchettl et al. (2017)	
F01004-2237	2010/06/25 (Tadhunter et al. 2017)	IRAS F01004-2237	01:02:50	-22:21:57	0.117835	Tadhunter et al. (2017)	
Gaia 16aax	2016/01/26 (Wyrzykowski et al. 2016)	SDSS J143418.47+491236.5	14:34:18	+12:49:37	0.248	Wyrzykowski et al. (2016), Cannizzaro et al. (2020)	
Gaia 16ajq	2016/03/29 (Delgado et al. 2016)	SDSS J145301.70+422127.8	14:53:02	+42:21:28	0.28	Delgado et al. (2016), Wyrzykowski et al. (2016)	
Gaia 16aka	2016/03/31 (Delgado et al. 2016)	SDSS J144808.24+371358.8	14:48:08	+37:13:59	0.31	Delgado et al. (2016), Wyrzykowski et al. (2016)	
IGR J17361-4441 ^b	2003/03/22 (Bozzo et al. 2011)	NGC 6388	17:36:17	-44:44:08	0.000271	Bozzo et al. (2011), Auchettl et al. (2017)	
iPTF 16axa	2016/05/29 (Hung et al. 2017)	SDSS J170334.34+303536.6	17:03:34	+30:35:36.6	0.108	Hung et al. (2017)	
iPTF 16fnl	2016/08/26 (Gezari et al. 2016)	MRK 950	00:29:57	+32:53:37.24	0.0163	Gezari et al. (2016)	
J030257	2009/11/08 (Wang et al. 2018)	SDSS J030257.14-082942.6	03:02:57	-08:29:43	0.1056	Wang et al. (2018)	
J091225	2009/02/09 (Wang et al. 2018)	SDSS J091225.01+061014.8	09:12:25	+06:10:14.8	0.1453	Wang et al. (2018)	
J094608	cdots	SDSS J094608.49+351222.4	09:46:08	+35:12:22.4	0.119	Kankare et al. (2017a, 2017b), Jiang et al. (2019)	
J094806	cdots	SDSS J094806.55+031801.9	09:48:07	+03:18:01.9	0.207	Kankare et al. (2017a, 2017b), Jiang et al. (2019)	
J100933	2009/02/20 (Wang et al. 2018)	SDSS J100933.14+232255.8	10:09:33	+23:22:55.8	0.0719	Wang et al. (2018)	
J113527	2009/04/07 (Wang et al. 2018)	SDSS J113527.29+392810.7	11:35:27	+39:28:10.7	0.1084	Wang et al. (2018)	
J121116	2009/05/04 (Wang et al. 2018)	SDSS J121116.47+001345.3	12:11:16	+00:13:45.3	0.0763	Wang et al. (2018)	
J123715	2010/01/23 (Wang et al. 2018)	SDSS J123715.10+601207.0	12:37:15	+60:12:07.0	0.2164	Wang et al. (2018)	
J130819	2009/04/14 (Wang et al. 2018)	SDSS J130819.12+434525.6	13:08:19	+43:45:25.6	0.0365	Wang et al. (2018)	
J133737	2009/04/12 (Wang et al. 2018)	SDSS J133737.13+202351.7	13:37:37	+20:23:51.7	0.0725	Wang et al. (2018)	
J133837	2009/11/02 (Wang et al. 2018)	SDSS J133837.60+573113.2	13:38:38	+57:31:13.2	0.1269	Wang et al. (2018)	
J134244	2009/04/06 (Wang et al. 2018)	SDSS J134244.41+053056.2	13:42:44	+05:30:56.2	0.0365	Wang et al. (2018)	
J141036	2009/04/24 (Wang et al. 2018)	SDSS J141036.81+265425.0	14:10:37	+26:54:25.0	0.1071	Wang et al. (2018)	
J142401	2009/04/26 (Wang et al. 2018)	SDSS J142401.66+295028.4	14:24:02	+29:50:28.4	0.0855	Wang et al. (2018)	
J145851	2009/04/29 (Wang et al. 2018)	SDSS J145851.65+175057.9	14:58:52	+17:50:57.9	0.1165	Wang et al. (2018)	
J155223	2009/05/31 (Wang et al. 2018)	SDSS J155223.29+323455.1	15:52:23	+32:34:55.1	0.1277	Wang et al. (2018)	
J233454	cdots	SDSS J233454.07+145712.8	23:34:54	+14:57:12.8	0.107	Kankare et al. (2017a, 2017b), Jiang et al. (2019)	
LEDA 095953	1991/07/06 (Cappelluti et al. 2009)	LEDA 095953	13:47:30	-32:54:52	0.0366	Cappelluti et al. (2009), Auchettl et al. (2017)	
MAXI J1807+132 ^b	2017/03/15 (Negoro et al. 2017)	cdots	cdots	cdots	cdots	Albayati et al. (2011), Negoro et al. (2017)	
NGC 247 ^b	2014/07/01 (Feng et al. 2015)	NGC 247	00:47:09	-20:45:37	0.000531	Jin et al. (2011), Feng et al. (2015), Auchettl et al. (2017)	
NGC 3599	2002/05/27 (Esquej et al. 2007)	NGC 3599	11:15:27	+18:06:37.33	0.002699	Esquej et al. (2007), Saxton et al. (2016), Auchettl et al. (2017)	
NGC 5905	1990/07/11 (Bade et al. 1996)	NGC 5905	15:15:23	+55:31:01.59	0.01124	Bade et al. (1996), Auchettl et al. (2017)	
NGC 6021	2005/01/02 (Hryniewicz & Walter 2016)	NGC 6021	15:57:31	+15:57:22.37	0.015607	Hryniewicz & Walter (2016)	
OGLE 16aaa	2015/12/17 (Wyrzykowski et al. 2017)	GALEX J010720.81-641621.4	01:07:21	-64:16:21	0.1655	Wyrzykowski et al. (2016, 2017), Auchettl et al. (2017)	
OGLE 17aaj	2017/01/01 (Sokolovsky et al. 2017a)	GALEXASC J015624.70-710415.8	01:56:25	-71:04:16	0.116	Sokolovsky et al. (2017a), Gromadzki et al. (2017, 2019)	
PGC 015259	2010/02/08 (Hryniewicz & Walter 2016)	2MFGC 3645	04:29:22	-04:45:36	0.014665	Hryniewicz & Walter (2016), Auchettl et al. (2017)	
PGC 1127938	2007/01/08 (Hryniewicz & Walter 2016)	2SLAQ J011844.35-010906.8	01:18:44	-01:09:07	0.02	Hryniewicz & Walter (2016), Auchettl et al. (2017)	
PGC 1185375	2010/02/03 (Hryniewicz & Walter 2016)	2MASX J15035028+0107366	15:03:50	+01:07:36.70	0.00523	Hryniewicz & Walter (2016), Auchettl et al. (2017)	
PGC 1190358	2009/12/29 (Hryniewicz & Walter 2016)	N5846-162	15:05:29	+01:17:33.17	0.00766	Hryniewicz & Walter (2016), Auchettl et al. (2017)	
PGC 133344	2005/03/17 (Hryniewicz & Walter 2016)	6dFGS gJ214256.0-300758	21:42:56	-30:07:58	0.02365	Hryniewicz & Walter (2016), Auchettl et al. (2017)	
PGC 170392	2005/11/28 (Hryniewicz & Walter 2016)	6dFGS gJ222646.4-150123	22:26:46	-15:01:23	0.016246	Hryniewicz & Walter (2016), Auchettl et al. (2017)	
PS1-10adi	2010/08/15 (Kankare et al. 2017a)	SDSS J204244.74+153032.1	20:42:45	+15:30:32.1	0.203	Kankare et al. (2017a, 2017b)	
PS1-10jh	2010/05/16 (Gezari et al. 2012)	SDSS J160928.27+534023.9	16:09:28	+53:40:23.99	0.1696	Gezari et al. (2012), Auchettl et al. (2017)	
PS1-11af	2010/12/30 (Chornock et al. 2014)	SDSS J095726.82+031400.9	09:57:27	+03:14:00.94	0.4046	Chornock et al. (2014), Auchettl et al. (2017)	
PS1-12yp	2012/04/09 (Lawrence et al. 2016)	SDSS J133155.90+235405.8	13:31:56	+23:54:05.8	0.581	Lawrence et al. (2016), Auchettl et al. (2017)	
PS1-13jw	2013/02/06 (Kankare et al. 2017a)	SDSS J084453.56+425744.8	08:44:54	+42:57:44.8	0.345	Kankare et al. (2017a, 2017b)	
PTF 09axc	2009/06/20 (Arcavi et al. 2014)	SDSS J145313.07+221432.2	14:53:13	+22:14:32.27	0.1146	Arcavi et al. (2014), Auchettl et al. (2017)	
PTF 09djl	2009/07/24 (Arcavi et al. 2014)	SDSS J163355.97+301416.6	16:33:56	+30:14:16.65	0.184	Arcavi et al. (2014), Liu et al. (2017)	
PTF 09ge	2009/05/07 (Arcavi et al. 2014)	SDSS J145703.17+493640.9	14:57:03	+49:36:40.97	0.064	Arcavi et al. (2014), Auchettl et al. (2017)	
PTF 10iya	2010/06/11 (Cenko et al. 2012)	SDSS J143840.98+373933.4	14:38:41	+37:39:33.45	0.22405	Cenko et al. (2012), Auchettl et al. (2017)	
PTF 10nuj	2010/06/13 (Arcavi et al. 2014)	SDSS J162624.66+544221.4	16:26:25	+54:42:21.44	0.132	Arcavi et al. (2014), Auchettl et al. (2017)	
PTF 11glr	2011/05/28 (Arcavi et al. 2014)	SDSS J165406.16+412015.4	16:54:06	+41:20:15.45	0.207	Arcavi et al. (2014), Auchettl et al. (2017)	
RBS 1032	1990/11/05 (Maksym et al. 2014)	SDSS J114726.69+494257.8	11:47:27	+49:42:59.00	0.026	Maksym et al. (2014), Auchettl et al. (2017)	
RX J1242-11A	1992/07/15 (Komossa & Greiner 1999)	RX J1242.6-1119A	12:42:37	-11:19:35	0.05	Komossa & Greiner (1999), Auchettl et al. (2017)	
RX J1420+53	1990/07/11(Greiner et al. 2000)	RX J1420.4+5334	14:20:24	+53:34:11.72	0.147	Greiner et al. (2000), Auchettl et al. (2017)	
RX J1624+75	1990/08/25 (Grupe et al. 1999)	RX J1624.9+7554	16:24:57	+75:54:56.09	0.0636	Grupe et al. (1999), Auchettl et al. (2017)	
SDSS J0159	2000/07/29 (LaMassa et al. 2015)	SDSS J015957.64+003310.4	01:59:58	+00:33:10.49	0.31167	LaMassa et al. (2015), Auchettl et al. (2017)	
SDSS J0748	2003/10/23 (Wang et al. 2011)	SDSS J074820.67+471214.3	07:48:21	+47:12:14.23	0.0615	Wang et al. (2011), Auchettl et al. (2017)	
SDSS J0952	2008/02/05 (Komossa et al. 2008)	SDSS J095209.56+214313.3	09:52:10	+21:43:13.24	0.0789	Komossa et al. (2008), Auchettl et al. (2017)	
SDSS J1201+30	2010/06/10 (Saxton et al. 2012)	SDSS J120136.02+300305.5	12:01:36	+30:03:05.52	0.146	Saxton et al. (2012, 2016), Auchettl et al. (2017)	
SDSS J1311	2004/02/28 (Maksym et al. 2010)	SDSS J131122.15-012345.6	13:11:22	-01:23:46	0.18	Maksym et al. (2010), Auchettl et al. (2017)	
SDSS J1323	2003/12/02 (Esquej et al. 2007)	SDSS J132341.97+482701.3	13:23:42	+48:27:01.26	0.08754	Esquej et al. (2007), Saxton et al. (2016), Auchettl et al. (2017)	
SDSS J1342	2009/05/17 (Yang et al. 2013)	SDSS J134244.41+053056.1	13:42:44	+05:30:56.14	0.0366	Yang et al. (2013), Auchettl et al. (2017)	
SDSS J1350	cdots	SDSS J135001.49+291609.7	13:50:02	+29:16:09.71	0.0777	Yang et al. (2013), Auchettl et al. (2017)	
SN 2017bcc	2017/02/18 (Sokolovsky et al. 2017b)	SDSS J113152.97+295944.8	11:31:53	+29:59:44.8	0.133	Sokolovsky et al. (2017b)	
SRGE J013204.6+122236	2020/07/08 (Sazonov et al. 2021)	cdots	01:32:04.482	+12:22:35.6232	0.132	Sazonov et al. (2021)	
SRGE J021939.9+361819	2020/08/07 (Sazonov et al. 2021)	cdots	02:19:39.90336	+36:18:18.1944	0.3879	Sazonov et al. (2021)	
SRGE J071310.6+725627	2020/10/11 (Sazonov et al. 2021)	cdots	07:13:10.5204	+72:56:26.7036	0.104	Sazonov et al. (2021)	
SRGE J091747.6+524821	2020/10/28 (Sazonov et al. 2021)	cdots	09:17:47.39808	+52:48:20.286	0.1876	Sazonov et al. (2021)	
SRGE J095928.6+643023	2020/10/28 (Sazonov et al. 2021)	cdots	09:59:28.4784	+64:30:21.7908	0.454	Sazonov et al. (2021)	
SRGE J133053.3+734824	2020/11/02 (Sazonov et al. 2021)	cdots	13:30:53.02032	+73:48:24.2604	0.1505	Sazonov et al. (2021)	
SRGE J135514.8+311605	2020/06/23 (Sazonov et al. 2021)	SDSS J135515.01+311605.2	13:55:15.01896	+31:16:05.2356	0.1989	Sazonov et al. (2021)	
SRGE J144738.4+671821	2020/11/19 (Sazonov et al. 2021)	cdots	14:47:39.06504	+67:18:18.3384	0.125	Sazonov et al. (2021)	
SRGE J153503.4+455056	2020/07/13 (Sazonov et al. 2021)	cdots	15:35:03.16128	+45:50:54.9528	0.2314	Sazonov et al. (2021)	
SRGE J161001.2+330121	2020/08/14 (Sazonov et al. 2021)	cdots	16:10:01.4208	+33:01:20.6976	0.1309	Sazonov et al. (2021)	
SRGE J163030.2+470125	2020/08/06 (Sazonov et al. 2021)	cdots	16:30:30.25248	+47:01:25.428	0.294	Sazonov et al. (2021)	
SRGE J163831.7+534020	2020/08/01 (Sazonov et al. 2021)	cdots	16:38:32.01624	+53:40:22.5516	0.581	Sazonov et al. (2021)	
SRGE J171423.6+085236	2020/09/18 (Sazonov et al. 2021)	cdots	17:14:23.61432	+08:52:36.9048	0.036	Sazonov et al. (2021)	
Swift J1112-82	2011/12/27 (Krimm et al. 2011a)	Swift J1112.2-8238	11:11:48	-82:38:45	0.89	Krimm et al. (2011a), Brown et al. (2015), Auchettl et al. (2017)	
Swift J1644+57	2011/03/29 (Levan et al. 2011)	Swift J164449.3+573451	16:44:49	+57:34:51.00	0.3543	Levan et al. (2011), Bloom et al. (2011), Auchettl et al. (2017)	
Swift J2058+05	2011/05/27 (Krimm et al. 2011b)	Swift J205819.7+051329	20:58:20	+05:13:33.00	1.1853	Krimm et al. (2011b), Cenko et al. (2012), Auchettl et al. (2017)	
TDE1	2006/08/27 (van Velzen et al. 2011)	SDSS J234201.40+010629.2	23:42:01	+01:06:29.30	0.136	van Velzen et al. (2011), Auchettl et al. (2017)	
TDE2	2007/06/18 (van Velzen et al. 2011)	SDSS J232348.61-010810.3	23:23:49	-01:08:10	0.2515	van Velzen et al. (2011), Auchettl et al. (2017)	
UGC 01791	2005/01/09 (Hryniewicz & Walter 2016)	UGC 1791	02:19:54	+28:14:52.60	0.015881	Hryniewicz & Walter (2016)	
UGC 03317	2010/09/22 (Hryniewicz & Walter 2016)	UGC 3317	05:33:38	+73:43:26.30	0.004136	Hryniewicz & Walter (2016)	
WINGS J134849.88+263557.5 ^a	1999/12/20 (Maksym et al. 2013)	WINGS J134849.88+263557.5	13:48:50	+26:35:57.50	0.062	Maksym et al. (2013), Feng et al. (2015), Auchettl et al. (2017)	
XMMSL1 J024916.6-041244	2004/07/24 (Esquej et al. 2007)	2MASX J02491731-0412521	02:49:17	-04:12:52	0.0186	Esquej et al. (2007), Strotjohann et al. (2016), Auchettl et al. (2017)	
XMMSL1 J061927.1-655311	2012/11/12 (Saxton et al. 2014)	2MASX 06192755-6553079	06:19:27	-65:53:07	0.0729	Saxton et al. (2014)	
XMMSL1 J0740-85	2014/04/01 (Saxton et al. 2017)	2MASX 07400785-8539307	07:40:08	+85:39:27	0.0173	Saxton et al. (2017), Auchettl et al. (2017)	
XMMSL1 J131952.3+225958	2005/07/15 (Li et al. 2020)	NGC 5092	13:19:52	+22:59:58	0.023	Li et al. (2020)	
XMMSL1 J063045.9-603110 ^a ^c	2011/12/01 (Read et al. 2011)	XMMSL1 J063045.9-603110	06:30:46	-60:31:10	0.014	Read et al. (2011), Mainetti et al. (2016), Oliveira et al. (2017)	
XMMSL2 J140446.9-251135	2018/02/15 (Read et al. 2018)	2MASX 14044671-2511433	14:04:47	-25:11:35	0.043	Read et al. (2018)	
XMMSL2 J144605.0+685735	2006/08/22 (Saxton et al. 2019)	2MASX 14460522+6857311, LEDA 2725953	14:46:05	+68:57:31	0.029	Saxton et al. (2019)	
ZTF 18abxftqm	2018/10/04 (Velzen et al. 2018)	cdots	cdots	cdots	0.088	Velzen et al. (2018)
