Source	MJD	Instrument	T _p (K)	R _p (cm)	f _sc	Gamma_sc	Statistics ^a /dof	
AT 2018zr	58220	XMM-Newton	${1.1}_{-0.1}^{+0.1}\times {10}^{6}$	${2.5}_{-0.7}^{+1.1}\times {10}^{10}$	cdots	cdots	6.3/8	
	58241	XMM-Newton	${1.0}_{-0.1}^{+0.2}\times {10}^{6}$	${2.0}_{-0.6}^{+1.0}\times {10}^{10}$	cdots	cdots	6.0/6	
	58569	XMM-Newton	${5.2}_{-0.4}^{+0.6}\times {10}^{5}$	${2.0}_{-0.6}^{+1.0}\times {10}^{11}$	cdots	cdots	11.3/7	
AT 2018hyz	${58463}_{-28}^{+30}$	Swift/XRT	${1.2}_{-0.2}^{+0.3}\times {10}^{6}$	${1.1}_{-0.5}^{+0.9}\times {10}^{10}$	cdots	cdots	13.0/22	
AT 2019azh	58579	XMM-Newton	${5.7}_{-0.7}^{+1.4}\times {10}^{5}$	${8.9}_{-1.9}^{+4.2}\times {10}^{10}$	${0.03}_{-0.02}^{+0.06}$	${2.2}_{-0.7}^{+1.2}$	10.3/16	
	58760	XMM-Newton	${4.1}_{-0.3}^{+0.1}\times {10}^{5}$	${2.4}_{-0.3}^{+0.3}\times {10}^{12}$	${0.01}_{-0.01}^{+0.02}$	${1.3}_{-1.3}^{+2.3}$	30.2/18	
	58788	XMM-Newton	${3.5}_{-0.1}^{+0.1}\times {10}^{5}$	${4.0}_{-0.1}^{+0.2}\times {10}^{12}$	${0.01}_{-0.01}^{+0.01}$	${4.3}_{-0.2}^{+0.5}$	34.4/21	
	58971	XMM-Newton	${2.8}_{-0.1}^{+0.1}\times {10}^{5}$	${6.2}_{-1.6}^{+6.0}\times {10}^{12}$	cdots	cdots	16.1/7	
AT 2019dsg	${58625}_{-5}^{+4}$	Swift/XRT	${6.7}_{-1.0}^{+1.4}\times {10}^{5}$	${2.3}_{-1.3}^{+3.7}\times {10}^{12}$	cdots	cdots	26.0/41	
	58633	XMM-Newton	${5.7}_{-0.6}^{+0.1}\times {10}^{5}$	${2.6}_{-0.9}^{+0.2}\times {10}^{12}$	cdots	cdots	33.3/22	
	${58641}_{-7}^{+7}$	Swift/XRT	${5.1}_{-0.7}^{+0.9}\times {10}^{5}$	${2.8}_{-1.5}^{+5.1}\times {10}^{12}$	cdots	cdots	36.4/34	
AT 2019ehz	${58628}_{-1}^{+1}$	Swift/XRT	${1.1}_{-0.1}^{+0.1}\times {10}^{6}$	${2.5}_{-0.3}^{+0.4}\times {10}^{11}$	cdots	cdots	84.8/78	
	58633	XMM-Newton	${8.2}_{-0.5}^{+0.6}\times {10}^{5}$	${8.3}_{-1.4}^{+1.9}\times {10}^{10}$	cdots	cdots	6.5/9	
	${58682}_{-2}^{+2}$	Swift/XRT	${1.1}_{-0.1}^{+0.1}\times {10}^{6}$	${1.9}_{-0.3}^{+0.4}\times {10}^{11}$	cdots	cdots	52.4/58	
AT 2019teq	58841	XMM-Newton	${1.9}_{-0.1}^{+0.1}\times {10}^{6}$	${2.5}_{-0.1}^{+0.6}\times {10}^{10}$	cdots	cdots	34.2/41	
	58915	XMM-Newton	cdots	cdots	cdots	cdots	82.5/48	
AT 2019vcb	58991	XMM-Newton	${5.4}_{-0.3}^{+0.4}\times {10}^{5}$	${3.9}_{-1.2}^{+2.4}\times {10}^{11}$	cdots	cdots	25.1/18	
	59764	XMM-Newton	${4.0}_{-0.5}^{+1.0}\times {10}^{5}$	${2.9}_{-0.5}^{+9.5}\times {10}^{11}$	cdots	cdots	9.1/8	
AT 2020ddv	58967	XMM-Newton	${7.0}_{-0.1}^{+0.2}\times {10}^{5}$	${8.4}_{-0.5}^{+0.7}\times {10}^{11}$	cdots	cdots	29.8/16	
AT 2020ksf	${59185}_{-5}^{+5}$	Swift/XRT	${8.0}_{-0.4}^{+0.4}\times {10}^{5}$	${7.0}_{-0.9}^{+1.2}\times {10}^{11}$	cdots	cdots	48.9/57	
	${59202}_{-3}^{+3}$	Swift/XRT	${6.5}_{-0.4}^{+0.5}\times {10}^{5}$	${1.1}_{-0.2}^{+0.3}\times {10}^{12}$	cdots	cdots	38.8/35	
	${59311}_{-3}^{+3}$	Swift/XRT	${6.8}_{-0.4}^{+0.5}\times {10}^{5}$	${1.0}_{-0.2}^{+0.3}\times {10}^{12}$	cdots	cdots	39.6/42	
	59725	XMM-Newton	${4.3}_{-0.1}^{+0.2}\times {10}^{5}$	${2.1}_{-0.1}^{+0.3}\times {10}^{12}$	cdots	cdots	21.4/13	
AT 2020ocn	${59041}_{-1}^{+1}$	Swift/XRT	${8.0}_{-0.6}^{+0.7}\times {10}^{5}$	${4.5}_{-1.0}^{+1.4}\times {10}^{11}$	cdots	cdots	29.7/42	
	59048	XMM-Newton	${4.9}_{-0.4}^{+0.1}\times {10}^{5}$	${2.3}_{-0.4}^{+0.1}\times {10}^{12}$	cdots	cdots	35.2/15	
	${59051}_{-3}^{+2}$	Swift/XRT	${5.4}_{-0.4}^{+0.4}\times {10}^{5}$	${8.2}_{-1.9}^{+2.8}\times {10}^{11}$	cdots	cdots	27.8/34	
	${59067}_{-6}^{+4}$	Swift/XRT	${9.1}_{-0.4}^{+0.5}\times {10}^{5}$	${3.2}_{-0.4}^{+0.5}\times {10}^{11}$	cdots	cdots	62.0/59	
