dt exposure_ks gamma_PL gamma_PL_upper gamma_PL_lower gamma_PL_upperlimit F_PL F_PL_upper F_PL_lower F_PL_upperlimit kT_BB kT_BB_upper kT_BB_lower kT_BB_upperlimit F_BB F_BB_upper F_BB_lower F_BB_upperlimit R_BB R_BB_upper R_BB_lower R_BB_upperlimit F_abs F_abs_upper F_abs_lower F_abs_upperlimit source telescope
58.6 61.7 1.7 +0.5 -0.5 False 2.4 +0.7 -0.7 False 4.5 +0.5 -0.6 False 1.3 +0.2 -0.2 False 0.4 +0.4 -0.1 False 7 +1 -1 False this swift
252.1 31 2.0 0 0 False 3.6 0 0 True 4.9 +0.3 -0.3 False 6.5 +0.7 -0.6 False 0.6 +0.2 -0.1 False 29 +1 -6 False this swift
329.0 11.7 2.0 0 0 False 4.1 +2.1 -1.7 False 5.2 +0.4 -0.4 False 8.9 +1.2 -1.0 False 0.6 +0.2 -0.2 False 44 +5 -5 False this swift
425.1 6.1 2.0 0 0 False 5.3 +3.1 -2.4 False 5.2 +0.4 -0.4 False 2.9 +0.9 -0.7 False 0.3 +0.1 -0.1 False 18 +5 -3 False this swift
1444.9 25.3 2.3 +0.3 -0.3 False 8.5 +1.4 -1.5 False 5.2 0 0 False 0.6 0 0 True null null null null null null null null this swift
2401 7.2 2 0 0 False 17 0 0 True null null null null null null null null null null null null null null null null this swift
2580 7.0 2 0 0 False 5.3 +2.5 -2.5 False null null null null null null null null null null null null null null null null this swift
76.4 10.3 2.5 +0.8 -0.8 False null null null null 4.7 +0.2 -0.2 False 1.6 0 0 False 0.4 0 0 False 7 0 0 False Gezari17 XMM-Newton
76.4 12.4 1.7 +1.0 -0.8 False 2.3 +0.8 -0.8 False 6.2 +6 -6 False 1.2 +0.5 -0.5 False 0.5 +0.6 -0.6 False null null null null Holoien18 XMM-Newton
76.4 9.7 1.5 +0.5 -0.4 False 1.9 +0.6 -0.6 False 5.1 +0.3 -0.3 False 1.3 +0.1 -0.1 False 0.2 +0.1 -0.1 False 8 +1 -1 False this XMM-Newton
234.5 12.0 3.3 +1.3 -1.3 False null null null null 4.2 +0.1 -0.1 False 18 0 0 False 2.1 0 0 False 37 0 0 False Gezari17 XMM-Newton
234.5 14.0 4.8 +2.6 -1.2 False 1.5 +0.8 -0.8 False 5.3 +2 -2 False 3.2 +0.9 -1.0 False 1.1 +0.8 -0.8 False null null null null Holoien18 XMM-Newton
234.5 10.9 3.1 +1.2 -0.9 False 0.9 +0.7 -0.5 False 4.2 +0.1 -0.1 False 8.9 +0.2 -0.2 False 1.3 +0.1 -0.1 False 38 +1 -1 False this XMM-Newton
1833 12.5 2.0 +0.3 -0.3 False 1.0 +0.4 -0.2 False 5.2 0 0 False 4.2e-2 0 0 True null null null null null null null null this XMM-Newton
2794 19.7 2 0 0 False 0.8 0 0 True null null null null null null null null null null null null null null null null this XMM-Newton
