MJD dt_d Filter Magnitude Magnitude_Error
57259.41 11.41 v 15.974 0.051 
57264.42 16.42 v 16.298 0.056 
57270.71 22.71 v 16.664 0.057 
57276.13 28.13 v 16.781 0.070 
57280.72 32.72 v 16.831 0.071 
57288.50 40.5 v 16.793 0.073 
57300.57 52.57 v 16.953 0.054 
57318.89 70.89 v 17.061 0.059 
57340.96 92.96 v 17.066 0.061 
57501.11 253.11 v 17.016 0.064
57572.85 324.85 v 17.135 0.064
57602.42 354.42 v 17.195 0.074
58674.29 1426.29 v 17.139 0.041 
59649.93 2401.93 v 17.234 0.088 
59784.74 2536.74 v 17.109 0.105 
57259.40 11.40 b 15.995 0.039 
57259.42 16.42 b 16.374 0.042
57268.75 20.75 b 16.542 0.043 
57272.57 24.57 b 16.808 0.047 
57276.12 28.12 b 16.919 0.049 
57280.71 32.71 b 17.046 0.051 
57285.64 37.64 b 17.147 0.065 
57291.48 43.48 b 17.241 0.067 
57294.61 46.61 b 17.358 0.074 
57300.26 52.26 b 17.355 0.071 
57303.66 55.66 b 17.406 0.081 
57306.52 58.52 b 17.345 0.075 
57309.48 61.48 b 17.462 0.080 
57312.20 64.20 b 17.349 0.086 
57318.77 70.77 b 17.573 0.085 
57324.08 76.08 b 17.630 0.123 
57328.14 80.14 b 17.644 0.093 
57333.48 85.48 b 17.634 0.100 
57336.40 88.40 b 17.649 0.116 
57340.73 92.73 b 17.687 0.089 
57347.12 99.12 b 17.817 0.098 
57501.10 253.10 b 17.914 0.065 
57572.84 324.84 b 17.907 0.061 
57602.41 354.41 b 17.861 0.064 
58674.29 1426.29 b 17.931 0.041 
59649.93 2401.93 b 17.890 0.077 
59784.74 2536.74 b 17.803 0.095 
57259.40 11.40 u 15.972 0.037 
57259.41 16.41 u 16.434 0.040 
57268.75 20.75 u 16.728 0.041 
57272.57 24.57 u 16.964 0.044 
57276.12 28.12 u 17.199 0.047 
57280.71 32.71 u 17.460 0.050 
57285.64 37.64 u 17.572 0.062 
57291.48 43.48 u 17.697 0.065 
57294.61 46.61 u 17.933 0.075 
57300.26 52.26 u 18.080 0.078 
57303.65 55.65 u 18.048 0.084 
57306.52 58.52 u 18.165 0.085 
57309.48 61.48 u 18.283 0.090 
57312.20 64.20 u 18.331 0.109 
57318.77 70.77 u 18.338 0.093 
57326.21 78.21 u 18.413 0.084 
57335.04 87.04 u 18.452 0.086 
57340.73 92.73 u 18.731 0.113 
57347.11 99.11 u 18.787 0.119 
57460.27 212.27 u 19.321 0.063 
57501.10 253.10 u 19.327 0.104 
57572.84 324.84 u 19.264 0.093 
57602.41 354.41 u 19.247 0.100 
58674.29 1426.29 u 19.264 0.057
59649.93 2401.93 u 19.246 0.119
59784.73 2536.73 u 19.074 0.142
57259.40 11.40 uvw1 15.770 0.040 
57259.41 16.41 uvw1 16.153 0.041 
57268.75 20.75 uvw1 16.459 0.042 
57272.57 24.57 uvw1 16.678 0.044 
57276.12 28.12 uvw1 16.985 0.046 
57280.71 32.71 uvw1 17.207 0.047 
57285.64 37.64 uvw1 17.419 0.050 
57291.48 43.48 uvw1 17.667 0.053 
57294.61 46.61 uvw1 17.782 0.056 
57297.05 49.05 uvw1 18.047 0.078 
57300.26 52.26 uvw1 18.059 0.059 
57303.65 55.65 uvw1 18.239 0.069 
57306.52 58.52 uvw1 18.313 0.067 
57309.47 61.47 uvw1 18.337 0.066 
57312.20 64.20 uvw1 18.496 0.076 
57318.77 70.77 uvw1 18.590 0.072 
57324.08 76.08 uvw1 18.861 0.104 
57328.14 80.14 uvw1 18.967 0.088 
57333.48 85.48 uvw1 18.992 0.093
57336.40 88.4 uvw1 19.039 0.099
57339.43 91.43 uvw1 18.991 0.101
57342.10 94.10 uvw1 19.059 0.124 
57345.79 97.79 uvw1 19.261 0.150 
57348.41 100.41 uvw1 19.319 0.113
57468.80 220.80 uvw1 20.265 0.197
57484.95 236.95 uvw1 20.532 0.153	 
57508.58 260.58 uvw1 20.416 0.103	 
57527.29 279.29 uvw1 20.450 0.113	 
57572.84 324.84 uvw1 20.596 0.127 
57602.41 354.41 uvw1 20.714 0.148 
58674.29 1426.29 uvw1 20.633 0.090
59020.30 1772.30 uvw1 20.684 0.203
59649.93 2401.93 uvw1 20.698 0.200
59828.39 2580.39 uvw1 21.003 0.235
57259.41 11.41 uvm2 15.590 0.041
57259.43 16.43 uvm2 16.017 0.042
57268.79 20.79 uvm2 16.366 0.052
57272.58 24.58 uvm2 16.516 0.044
57276.13 28.13 uvm2 16.750 0.046
57280.72 32.72 uvm2 16.951 0.047
57285.64 37.64 uvm2 17.174 0.045
57291.59 43.59 uvm2 17.340 0.054
57294.62 46.62 uvm2 17.545 0.047
57300.27 52.27 uvm2 17.793 0.048
57303.66 55.66 uvm2 17.945 0.053
57306.52 58.52 uvm2 18.014 0.052
57309.48 61.48 uvm2 18.122 0.054
57312.20 64.20 uvm2 18.203 0.056
57318.87 70.87 uvm2 18.537 0.176
57324.09 76.09 uvm2 18.653 0.071
57328.17 80.17 uvm2 18.730 0.066
57333.52 85.52 uvm2 18.984 0.077
57336.41 88.41 uvm2 19.000 0.072
57339.44 91.44 uvm2 19.091 0.077
57343.93 95.93 uvm2 19.031 0.085
57348.42 100.42 uvm2 19.084 0.077
57468.80 220.80 uvm2 20.788 0.175
57476.65 228.65 uvm2 20.874 0.178
57497.32 249.32 uvm2 21.166 0.180
57514.00 266 uvm2 21.197 0.153
57531.25 283.25 uvm2 21.153 0.234
57572.85 324.85 uvm2 21.767 0.185
57602.42 354.42 uvm2 21.251 0.154
58674.29 1426.29 uvm2 21.423 0.126
59016.54 1768.54 uvm2 21.373 0.290
59649.93 2401.93 uvm2 21.368 0.247
