name,band,mjd,flux,flux_lowerr,flux_uperr
WTP14abnpgk,0.3-10 keV,57844.5608609583,1.4120049999999999e-12,-1.0,-1.0
WTP14abnpgk,0.3-10 keV,57848.6133303993,1.500765e-12,-1.0,-1.0
WTP14abnpgk,0.3-10 keV,58330.6064502396,7.4403e-12,-1.0,-1.0
WTP14abnpgk,0.3-10 keV,58575.7324987442,2.9268400000000005e-12,-1.0,-1.0
WTP14abnpgk,0.3-10 keV,58631.778701184,6.248200000000001e-12,-1.0,-1.0
WTP14acnjbu,0.3-10 keV,60052.3355101725,4.6571e-13,-1.0,-1.0
WTP14adbjsh,0.3-10 keV,58428.0480350393,6.9832e-12,-1.0,-1.0
WTP14adbjsh,0.3-10 keV,58483.4448609977,1.409625e-12,-1.0,-1.0
WTP14adbjsh,0.3-10 keV,58488.623201691,3.2027800000000002e-12,-1.0,-1.0
WTP14adbjsh,0.3-10 keV,58489.2190179178,1.43738e-12,-1.0,-1.0
WTP14adbjsh,0.3-10 keV,59745.448976544,9.24385e-13,-1.0,-1.0
WTP14adbjsh,0.3-10 keV,59772.6982467269,7.23065e-13,-1.0,-1.0
WTP14adbwvs,0.3-10 keV,60054.5668527752,5.46665e-13,-1.0,-1.0
WTP14adbwvs,0.3-10 keV,60055.292307347,8.97925e-13,-1.0,-1.0
WTP14adeqka,0.3-10 keV,60104.5982528194,9.16965e-13,-1.0,-1.0
WTP15abymdq,0.3-10 keV,60007.1668267222,7.91525e-13,-1.0,-1.0
WTP15acbgpn,0.3-10 keV,58078.0839192685,7.8974945e-13,2.020235e-13,2.41769675e-13
WTP15acbuuv,0.3-10 keV,60007.1161570613,7.141050000000001e-13,-1.0,-1.0
WTP16aaqrcr,0.3-10 keV,58976.5288702998,1.069705e-11,-1.0,-1.0
WTP16aaqrcr,0.3-10 keV,59083.7455127407,1.8331250000000002e-12,-1.0,-1.0
WTP16aaqrcr,0.3-10 keV,59262.2781293958,4.5927e-12,-1.0,-1.0
WTP16aaqrcr,0.3-10 keV,59264.9304909294,1.01192e-12,-1.0,-1.0
WTP16aaqrcr,0.3-10 keV,59365.625633625,1.52859e-12,-1.0,-1.0
WTP16aatsnw,0.3-10 keV,57759.9582800799,3.0939650000000003e-12,-1.0,-1.0
WTP16aatsnw,0.3-10 keV,57774.242111963,8.7206e-13,-1.0,-1.0
WTP16aatsnw,0.3-10 keV,57777.0989289433,5.0126999999999994e-12,-1.0,-1.0
WTP16aatsnw,0.3-10 keV,57779.2864766296,1.3255200000000002e-12,-1.0,-1.0
WTP16aatsnw,0.3-10 keV,57781.9452630775,1.158885e-12,-1.0,-1.0
