ID	WTP Name	TNS Name	R.A.	Decl.	Redshift	D _L	t _disrupt	First Presented	
1	WTP 14abnpgk	AT 2022mim	251.477888	-23.451942	0.02035	89.3	56901	This work	
2	WTP 14acnjbu		264.328943	19.292112	0.026	112.8	57823	This work	
3	WTP 14adbjsh		342.953459	-20.608018	0.0106	41.0	57070	Panagiotou et al. (2023)	
4	WTP 14adbwvs		198.748944	51.272774	0.02489	111.1	56996	Dai et al. (2020)	
5	WTP 14adeqka		297.353597	63.509271	0.01895	80.2	57131	This work	
6	WTP 15abymdq		57.219702	-55.426525	0.03742	164.3	57303	This work	
7	WTP 15acbgpn		166.258054	59.684626	0.03369	150.2	57310	Jiang et al. (2021a); Wang et al. (2022b)	
8	WTP 15acbuuv		154.672586	-13.001884	0.03059	139.5	57277	This work	
9	WTP 16aaqrcr		280.829573	-62.112048	0.01509	65.0	57429	This work	
10	WTP 16aatsnw		254.844458	20.8298	0.04513	200.0	57495	Jiang et al. (2021a); Wang et al. (2022b)	
11	WTP 17aaldjb		197.064964	4.485906	0.04832	219.4	57765	Jiang et al. (2021a); Wang et al. (2022b)	
12	WTP 17aalzpx		50.856858	-2.046782	0.03725	161.6	57972	This work	
13	WTP 17aamoxe		317.242691	-56.475355	0.042	183.6	57934	This work	
14	WTP 17aamzew		146.2357	31.097848	0.03465	156.4	57944	Jiang et al. (2021a); Wang et al. (2022b)	
15	WTP 17aanbso		180.909755	58.986509	0.04692	210.4	57934	Jiang et al. (2021a); Wang et al. (2022b)	
16	WTP 18aajkmk		40.099143	-2.728314	0.0287	122.3	57991	This work	
17	WTP 18aamced	AT 2018dyk	233.283417	44.535533	0.03672	162.9	58275	Arcavi et al. (2018); Frederick et al. (2019)	
18	WTP 18aampwj	AT 2018gn	26.676815	32.508168	0.0375	161.2	58324	Falco et al. (2018); This work
