name,bibcode,flux,flux_err,flux_unit,upperlimit,date,date_format,band_name,band_eff_freq,band_eff_freq_unit,telescope,instrument,corr_k,corr_s,corr_host,corr_av,corr_hostav,val_k,val_s,val_host,val_av,val_hostav,statistical_err,systematic_err,iss_err
AT2022cmc,2022Natur.612..430A,20.71,0.17,mag(AB),FALSE,59621.4463,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.91,0.17,mag(AB),FALSE,59621.46407,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.08,0.09,mag(AB),FALSE,59622.41616,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.15,0.11,mag(AB),FALSE,59622.41659,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,18.88,0.09,mag(AB),FALSE,59622.43173,mjd,i',402.8409599,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.33,0.06,mag(AB),FALSE,59622.47757,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.12,0.19,mag(AB),FALSE,59622.47844,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,18.97,0.18,mag(AB),FALSE,59622.48173,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,18.89,0.17,mag(AB),FALSE,59622.48568,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.29,0.28,mag(AB),FALSE,59622.49073,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.1,0.04,mag(AB),FALSE,59622.4984,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.53,0.06,mag(AB),FALSE,59622.50279,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.08,0.04,mag(AB),FALSE,59622.52384,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.69,0.1,mag(AB),FALSE,59623.40816,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.81,0.12,mag(AB),FALSE,59623.43075,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.35,0.26,mag(AB),FALSE,59623.51081,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.32,0.26,mag(AB),FALSE,59623.51388,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.3,0.28,mag(AB),FALSE,59623.51519,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.55,0.3,mag(AB),FALSE,59623.52046,mjd,o,451.711772,THz,ATLAS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.87,0.12,mag(AB),FALSE,59624.40105,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.78,0.11,mag(AB),FALSE,59624.4028,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.38,0.2,mag(AB),FALSE,59624.53549,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.06,0.14,mag(AB),FALSE,59624.53659,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.27,0.13,mag(AB),FALSE,59625.03775,mjd,r',489.2629993,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.24,0.17,mag(AB),FALSE,59625.03928,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.79,0.1,mag(AB),FALSE,59625.04148,mjd,z',337.7343709,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.47,0.15,mag(AB),FALSE,59625.09236,mjd,g',648.9823425,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.49,0.09,mag(AB),FALSE,59625.09499,mjd,r',489.2629993,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.1,0.08,mag(AB),FALSE,59625.09828,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.87,0.09,mag(AB),FALSE,59625.10157,mjd,z',337.7343709,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.68,0.14,mag(AB),FALSE,59625.13644,mjd,g',648.9823425,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.35,0.1,mag(AB),FALSE,59625.13973,mjd,r',489.2629993,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.11,0.08,mag(AB),FALSE,59625.14368,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.99,0.11,mag(AB),FALSE,59625.14763,mjd,z',337.7343709,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.6,0.14,mag(AB),FALSE,59625.2483,mjd,g',648.9823425,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.41,0.1,mag(AB),FALSE,59625.25225,mjd,r',489.2629993,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.15,0.07,mag(AB),FALSE,59625.2562,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.02,0.12,mag(AB),FALSE,59625.26014,mjd,z',337.7343709,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.4,0,mag(AB),TRUE,59625.32923,mjd,i',402.8409599,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.43,0.08,mag(AB),FALSE,59625.3641,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.4,0,mag(AB),TRUE,59625.36432,mjd,g',648.9823425,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.53,0.05,mag(AB),FALSE,59625.36476,mjd,r',489.2629993,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.34,0.06,mag(AB),FALSE,59625.36542,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.7,0,mag(AB),TRUE,59625.41082,mjd,r',489.2629993,THz,ZTF,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.67,0.09,mag(AB),FALSE,59625.84223,mjd,r',489.2629993,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.68,0.08,mag(AB),FALSE,59625.9894,mjd,r',489.2629993,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21,0,mag(AB),TRUE,59626.05739,mjd,g',648.9823425,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.8,0,mag(AB),TRUE,59626.06441,mjd,r',489.2629993,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.5,0,mag(AB),TRUE,59626.07099,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.8,0,mag(AB),TRUE,59626.07735,mjd,z',337.7343709,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.16,0.28,mag(AB),FALSE,59626.37519,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.06,0.13,mag(AB),FALSE,59626.37585,mjd,r',489.2629993,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.93,0.11,mag(AB),FALSE,59626.37651,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.04,0.09,mag(AB),FALSE,59626.37717,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.86,0.07,mag(AB),FALSE,59626.87766,mjd,r',489.2629993,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.09,0.22,mag(AB),FALSE,59627.37071,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.15,0.15,mag(AB),FALSE,59627.37137,mjd,r',489.2629993,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.28,0.19,mag(AB),FALSE,59627.37202,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.15,0.14,mag(AB),FALSE,59627.37268,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.38,0.15,mag(AB),FALSE,59627.37378,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.16,0.1,mag(AB),FALSE,59627.91441,mjd,r',489.2629993,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.21,0.05,mag(AB),FALSE,59628.05412,mjd,J,239.8624425,THz,EMIR,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.47,0.24,mag(AB),FALSE,59628.05939,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.36,0.06,mag(AB),FALSE,59628.06136,mjd,H,185.336132,THz,EMIR,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.64,0.13,mag(AB),FALSE,59628.07167,mjd,Ks,139.7943198,THz,EMIR,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21,0.15,mag(AB),FALSE,59628.18747,mjd,i',402.8409599,THz,IO:O,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.26,0.08,mag(AB),FALSE,59628.20502,mjd,r',489.2629993,THz,CAFOS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.12,0.12,mag(AB),FALSE,59628.23419,mjd,i',402.8409599,THz,CAFOS,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.19,0.15,mag(AB),FALSE,59628.37061,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.11,0.13,mag(AB),FALSE,59628.37171,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.14,0.11,mag(AB),FALSE,59628.37258,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.34,0.13,mag(AB),FALSE,59628.37346,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21,0.09,mag(AB),FALSE,59628.37456,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.39,0.16,mag(AB),FALSE,59628.37565,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.5,0.17,mag(AB),FALSE,59629.376,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.69,0.23,mag(AB),FALSE,59629.37709,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.17,0.09,mag(AB),FALSE,59629.37819,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.25,0.09,mag(AB),FALSE,59629.37929,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.51,0.14,mag(AB),FALSE,59629.38038,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.38,0.14,mag(AB),FALSE,59629.38148,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.68,0.18,mag(AB),FALSE,59630.37853,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.74,0.21,mag(AB),FALSE,59630.38094,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.72,0.23,mag(AB),FALSE,59631.37054,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.35,0.24,mag(AB),FALSE,59631.37163,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.55,0.24,mag(AB),FALSE,59631.37273,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.82,0.2,mag(AB),FALSE,59632.37044,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.9,0.19,mag(AB),FALSE,59632.37176,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.54,0.33,vega,FALSE,59633.14444,mjd,UVW1,1236.852755,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.7,0,vega,TRUE,59633.14619,mjd,U,858.3217219,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.9,0,vega,TRUE,59633.14707,mjd,B,688.8500955,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,22.28,0.34,vega,FALSE,59633.14926,mjd,UVW2,1531.497698,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19,0,vega,TRUE,59633.15211,mjd,V,548.3068934,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.42,0.19,vega,FALSE,59633.15497,mjd,UVM2,1360.083096,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.55,0.05,mag(AB),FALSE,59633.30981,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.59,0.07,mag(AB),FALSE,59633.31354,mjd,r',489.2629993,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.6,0.07,mag(AB),FALSE,59633.31617,mjd,r',489.2629993,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.59,0.08,mag(AB),FALSE,59633.3188,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.61,0.08,mag(AB),FALSE,59633.32143,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.69,0.13,mag(AB),FALSE,59633.32407,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.46,0.14,mag(AB),FALSE,59633.84979,mjd,r',489.2629993,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.47,0.11,mag(AB),FALSE,59633.93993,mjd,g',648.9823425,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.53,0.06,mag(AB),FALSE,59634.31125,mjd,g',648.9823425,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.61,0.05,mag(AB),FALSE,59634.31278,mjd,r',489.2629993,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.53,0.08,mag(AB),FALSE,59634.3141,mjd,i',402.8409599,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.98,0.22,mag(AB),FALSE,59634.31563,mjd,z',337.7343709,THz,DECam,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.5,0,vega,TRUE,59634.3391,mjd,UVW1,1236.852755,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.6,0,vega,TRUE,59634.34108,mjd,U,858.3217219,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.8,0,vega,TRUE,59634.34173,mjd,B,688.8500955,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,22.17,0.32,vega,FALSE,59634.34393,mjd,UVW2,1531.497698,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19,0,vega,TRUE,59634.34656,mjd,V,548.3068934,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.28,0.2,vega,FALSE,59634.34875,mjd,UVM2,1360.083096,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.71,0.12,mag(AB),FALSE,59635.89412,mjd,r',489.2629993,THz,GITCamera,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.39,0.29,vega,FALSE,59636.07287,mjd,UVW1,1236.852755,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.58,0.32,vega,FALSE,59636.0744,mjd,U,858.3217219,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20,0,vega,TRUE,59636.0755,mjd,B,688.8500955,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,22.38,0.34,vega,FALSE,59636.07835,mjd,UVW2,1531.497698,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.1,0,vega,TRUE,59636.08076,mjd,V,548.3068934,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.55,0.2,vega,FALSE,59636.08515,mjd,UVM2,1360.083096,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.38,0.09,mag(AB),FALSE,59636.33562,mjd,r',489.2629993,THz,SEDM,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.7,0.11,mag(AB),FALSE,59636.34307,mjd,g',648.9823425,THz,SEDM,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.6,0.18,mag(AB),FALSE,59636.35053,mjd,i',402.8409599,THz,SEDM,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,21.12,0.25,vega,FALSE,59636.37027,mjd,UVW1,1236.852755,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,20.7,0,vega,TRUE,59636.37137,mjd,U,858.3217219,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19.9,0,vega,TRUE,59636.37181,mjd,B,688.8500955,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,22.19,0.3,vega,FALSE,59636.3729,mjd,UVW2,1531.497698,THz,UVOT,,,,,,,,,,,,,,
AT2022cmc,2022Natur.612..430A,19,0,vega,TRUE,59636.37488,mjd,V,548.3068934,THz,UVOT,,,,,,,,,,,,,,
