name,bibcode,flux,flux_err,flux_unit,upperlimit,date,date_format,band_name,band_eff_freq,band_eff_freq_unit,telescope,instrument,corr_k,corr_s,corr_host,corr_av,corr_hostav,val_k,val_s,val_host,val_av,val_hostav
iPTF16fnl,2023arXiv230813595C,0.045,0.001,mJy,FALSE,2020-05-24,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
iPTF16fnl,2023arXiv230813595C,0.514,0,mJy,TRUE,2021-06-15,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
iPTF16fnl,2023arXiv230813595C,0.028,0.008,mJy,FALSE,2021-06-15,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
iPTF16fnl,2023arXiv230813595C,0.031,0.007,mJy,FALSE,2021-06-15,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
iPTF16fnl,2023arXiv230813595C,0.024,0.006,mJy,FALSE,2021-06-15,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
iPTF16fnl,2023arXiv230813595C,0.023,0.008,mJy,FALSE,2021-06-15,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.514,0,mJy,TRUE,2021-06-12,iso,1.25GHz,1.25,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.114,0.033,mJy,FALSE,2021-06-12,iso,1.75GHz,1.75,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.235,0.026,mJy,FALSE,2021-06-12,iso,2.5GHz,2.5,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.201,0.014,mJy,FALSE,2021-06-12,iso,3.5GHz,3.5,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.209,0.014,mJy,FALSE,2021-06-12,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.132,0.013,mJy,FALSE,2021-06-12,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.284,0.041,mJy,FALSE,2023-01-15,iso,0.88GHz,0.88,GHz,MeerKAT,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.384,0.026,mJy,FALSE,2023-01-15,iso,1.36GHz,1.36,GHz,MeerKAT,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.386,0,mJy,TRUE,2023-01-31,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
AT2019dsg,2023arXiv230813595C,0.228,0.016,mJy,FALSE,2023-03-5,iso,1.36GHz,1.36,GHz,MeerKAT,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.033,0,mJy,TRUE,2016-03-12,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.42,0,mJy,TRUE,2019-11-19,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.09,0.015,mJy,FALSE,2020-05-25,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.334,0.038,mJy,FALSE,2021-06-12,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.222,0.018,mJy,FALSE,2021-06-12,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.169,0.007,mJy,FALSE,2021-06-12,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.155,0.01,mJy,FALSE,2021-06-12,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.15,0.001,mJy,FALSE,2021-06-12,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.47,0,mJy,TRUE,2021-12-4,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,3.12,0,mJy,TRUE,2022-12-11,iso,1.25GHz,1.25,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.72,0.041,mJy,FALSE,2022-12-11,iso,1.75GHz,1.75,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.68,0.029,mJy,FALSE,2022-12-11,iso,2.5GHz,2.5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.604,0.017,mJy,FALSE,2022-12-11,iso,3.5GHz,3.5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.418,0.08,mJy,FALSE,2022-12-11,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.446,0.011,mJy,FALSE,2022-12-11,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.382,0.02,mJy,FALSE,2022-12-11,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.361,0.025,mJy,FALSE,2022-12-11,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.347,0.015,mJy,FALSE,2022-12-11,iso,13.5GHz,13.5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.337,0.022,mJy,FALSE,2022-12-11,iso,16.5GHz,16.5,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.303,0.015,mJy,FALSE,2022-12-11,iso,20GHz,20,GHz,VLA,,,,,,,,,,,
ASASSN-14ae,2023arXiv230813595C,0.343,0.014,mJy,FALSE,2022-12-11,iso,24GHz,24,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.069,0,mJy,TRUE,2016-09-22,iso,15.5GHz,15.5,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.075,0,mJy,TRUE,2016-12-21,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.0132,0,mJy,TRUE,2017-06-4,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.015,0,mJy,TRUE,2017-08-22,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,1.002,0.015,mJy,FALSE,2019-06-16,iso,0.887GHz,0.887,GHz,ASKAP,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.021,0.008,mJy,FALSE,2020-06-6,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.845,0,mJy,TRUE,2020-09-4,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.361,0.076,mJy,FALSE,2021-06-14,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.285,0.013,mJy,FALSE,2021-06-14,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.26,0.009,mJy,FALSE,2021-06-14,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.256,0.01,mJy,FALSE,2021-06-14,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.228,0.009,mJy,FALSE,2021-06-14,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.767,0,mJy,TRUE,2022-11-23,iso,1.25GHz,1.25,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.193,0.047,mJy,FALSE,2022-11-23,iso,1.75GHz,1.75,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.21,0.058,mJy,FALSE,2022-11-23,iso,3.0GHz,3,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.163,0.012,mJy,FALSE,2022-11-23,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.089,0.015,mJy,FALSE,2022-11-23,iso,10GHz,10,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.086,0.008,mJy,FALSE,2022-11-23,iso,15GHz,15,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.053,0.012,mJy,FALSE,2022-11-23,iso,20GHz,20,GHz,VLA,,,,,,,,,,,
PS16dtm,2023arXiv230813595C,0.039,0.011,mJy,FALSE,2022-11-23,iso,24GHz,24,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.014,0,mJy,TRUE,2020-08-23,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.053,0,mJy,TRUE,2021-06-18,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.147,0.011,mJy,FALSE,2022-10-16,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.749,0,mJy,TRUE,2022-12-8,iso,1.25GHz,1.25,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.218,0.041,mJy,FALSE,2022-12-8,iso,1.75GHz,1.75,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.209,0.032,mJy,FALSE,2022-12-8,iso,2.5GHz,2.5,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.18,0.001,mJy,FALSE,2022-12-8,iso,3.5GHz,3.5,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.155,0.018,mJy,FALSE,2022-12-8,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.109,0.015,mJy,FALSE,2022-12-8,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.088,0.016,mJy,FALSE,2022-12-8,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
AT2018zr,2023arXiv230813595C,0.085,0.012,mJy,FALSE,2022-12-8,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
AT2020neh,2023arXiv230813595C,0.018,0,mJy,TRUE,2020-06-19,iso,15GHz,15,GHz,VLA,,,,,,,,,,,
AT2020neh,2023arXiv230813595C,0.016,0,mJy,TRUE,2020-12-31,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2020neh,2023arXiv230813595C,0.026,0.006,mJy,FALSE,2022-11-9,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2020neh,2023arXiv230813595C,0.053,0.012,mJy,FALSE,2022-12-10,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2018dyb,2023arXiv230813595C,0.158,0.045,mJy,FALSE,2021-05-4,iso,1.36GHz,1.36,GHz,MeerKAT,,,,,,,,,,,
AT2018dyb,2023arXiv230813595C,1.031,0.068,mJy,FALSE,2022-12-11,iso,1.36GHz,1.36,GHz,MeerKAT,,,,,,,,,,,
AT2018dyb,2023arXiv230813595C,1.15,0.07,mJy,FALSE,2023-01-22,iso,2.1GHz,2.1,GHz,ATCA,,,,,,,,,,,
AT2018dyb,2023arXiv230813595C,0.5,0.04,mJy,FALSE,2023-01-22,iso,5.5GHz,5.5,GHz,ATCA,,,,,,,,,,,
AT2018dyb,2023arXiv230813595C,0.27,0.03,mJy,FALSE,2023-01-22,iso,9GHz,9,GHz,ATCA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.0165,0,mJy,TRUE,2018-12-5,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.3,0,mJy,TRUE,2019-05-5,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.343,0.015,mJy,FALSE,2021-06-12,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.436,0.142,mJy,FALSE,2021-10-14,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.329,0,mJy,TRUE,2022-01-7,iso,1.5GHz,1.5,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.166,0.03,mJy,FALSE,2022-01-7,iso,2.5GHz,2.5,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.252,0.011,mJy,FALSE,2022-01-7,iso,3.5GHz,3.5,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.265,0.014,mJy,FALSE,2022-01-7,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.227,0.014,mJy,FALSE,2022-01-7,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.161,0.01,mJy,FALSE,2022-01-7,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.371,0.015,mJy,FALSE,2022-01-7,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.33,0,mJy,TRUE,2022-04-30,iso,2.1GHz,2.1,GHz,ATCA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.2,0.019,mJy,FALSE,2022-04-30,iso,5.5GHz,5.5,GHz,ATCA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.111,0.019,mJy,FALSE,2022-04-30,iso,9GHz,9,GHz,ATCA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.084,0,mJy,TRUE,2022-04-30,iso,17GHz,17,GHz,ATCA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.141,0,mJy,TRUE,2022-04-30,iso,19GHz,19,GHz,ATCA,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.589,0,mJy,TRUE,2022-05-7,iso,0.88GHz,0.88,GHz,MeerKAT,,,,,,,,,,,
AT2018hco,2023arXiv230813595C,0.171,0.025,mJy,FALSE,2022-05-7,iso,1.36GHz,1.36,GHz,MeerKAT,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.39,0,mJy,TRUE,2017-12-1,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.06,0,mJy,TRUE,2019-05-21,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.026,0,mJy,TRUE,2019-06-14,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.3,0,mJy,TRUE,2019-09-1,iso,3GHz,3,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,1.071,0.032,mJy,FALSE,2021-06-11,iso,6GHz,6,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.237,0,mJy,TRUE,2021-12-23,iso,1.5GHz,1.5,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.156,0.07,mJy,FALSE,2021-12-23,iso,2.5GHz,2.5,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.396,0.046,mJy,FALSE,2021-12-23,iso,3.5GHz,3.5,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.733,0.041,mJy,FALSE,2021-12-23,iso,5GHz,5,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.485,0.059,mJy,FALSE,2021-12-23,iso,7GHz,7,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.401,0.014,mJy,FALSE,2021-12-23,iso,9GHz,9,GHz,VLA,,,,,,,,,,,
AT2019ehz,2023arXiv230813595C,0.338,0.015,mJy,FALSE,2021-12-23,iso,11GHz,11,GHz,VLA,,,,,,,,,,,
