mjd,mag,magerr,filter,wavelength
53352.0,20.20376,0.04783488,u,3561.7887353001856
53352.0,19.25158,0.01175068,g,4718.872246248685
53352.0,18.45225,0.009323934,r,6185.194476741525
53352.0,17.7032,0.008753316,i,7499.704174464691
53352.0,17.71326,0.02484707,z,8961.488333992429
53470.26129,18.13,0.12,C,6178.184964660442
53470.26859,18.1,0.12,C,6178.184964660442
53470.2759,18.13,0.12,C,6178.184964660442
53470.28319,18.17,0.13,C,6178.184964660442
53490.22445,18.17,0.12,C,6178.184964660442
53490.23263,18.08,0.11,C,6178.184964660442
53490.2408,18.31,0.12,C,6178.184964660442
53490.24893,18.23,0.12,C,6178.184964660442
53527.24511,18.22,0.12,C,6178.184964660442
53527.25521,18.02,0.12,C,6178.184964660442
53527.26522,18.3,0.13,C,6178.184964660442
53527.2753,18.08,0.12,C,6178.184964660442
53711.47314,18.18,0.12,C,6178.184964660442
53711.48346,18.32,0.13,C,6178.184964660442
53711.49374,18.0,0.11,C,6178.184964660442
53711.50423,18.17,0.12,C,6178.184964660442
53728.46876,18.31,0.13,C,6178.184964660442
53728.47682,18.55,0.14,C,6178.184964660442
53728.48495,18.04,0.12,C,6178.184964660442
53728.49303,18.28,0.13,C,6178.184964660442
53737.39357,18.17,0.19,C,6178.184964660442
53737.40294,18.08,0.17,C,6178.184964660442
53737.41214,18.16,0.12,C,6178.184964660442
53737.42133,18.23,0.12,C,6178.184964660442
53740.44034,18.31,0.12,C,6178.184964660442
53740.44894,18.32,0.13,C,6178.184964660442
53740.45748,18.22,0.12,C,6178.184964660442
53740.46606,18.05,0.11,C,6178.184964660442
53767.49067,18.27,0.12,C,6178.184964660442
53767.49549,18.17,0.12,C,6178.184964660442
53767.50038,18.24,0.12,C,6178.184964660442
53767.50527,18.16,0.12,C,6178.184964660442
53793.37885,18.23,0.12,C,6178.184964660442
53793.38525,18.31,0.13,C,6178.184964660442
53793.39167,18.28,0.12,C,6178.184964660442
53793.39807,18.19,0.12,C,6178.184964660442
53817.3068,18.32,0.13,C,6178.184964660442
53817.31538,18.24,0.12,C,6178.184964660442
53817.32399,18.22,0.12,C,6178.184964660442
53817.33256,18.06,0.12,C,6178.184964660442
53851.26765,18.33,0.13,C,6178.184964660442
53851.27653,18.35,0.13,C,6178.184964660442
53851.28546,18.07,0.12,C,6178.184964660442
53851.29439,18.25,0.13,C,6178.184964660442
53860.21337,18.1,0.12,C,6178.184964660442
53860.21985,18.17,0.12,C,6178.184964660442
53860.22631,18.18,0.12,C,6178.184964660442
53860.23278,18.29,0.13,C,6178.184964660442
53902.24164,18.13,0.34,C,6178.184964660442
53902.24263,18.41,0.39,C,6178.184964660442
53902.24363,18.53,0.42,C,6178.184964660442
53902.24462,18.68,0.46,C,6178.184964660442
54096.38159,18.35,0.13,C,6178.184964660442
54096.38978,18.19,0.12,C,6178.184964660442
54096.39802,18.25,0.12,C,6178.184964660442
54096.4062,18.32,0.12,C,6178.184964660442
54115.30701,18.23,0.12,C,6178.184964660442
54115.31796,18.13,0.11,C,6178.184964660442
54115.32884,18.11,0.11,C,6178.184964660442
54115.33967,18.28,0.12,C,6178.184964660442
54141.40751,18.12,0.12,C,6178.184964660442
54141.41295,18.34,0.13,C,6178.184964660442
54141.4184,18.4,0.14,C,6178.184964660442
54141.42384,18.47,0.15,C,6178.184964660442
54156.25984,18.19,0.13,C,6178.184964660442
54156.26856,18.2,0.13,C,6178.184964660442
54156.27726,18.49,0.14,C,6178.184964660442
54156.28599,18.25,0.13,C,6178.184964660442
54174.3721,18.25,0.12,C,6178.184964660442
54174.3816,18.25,0.12,C,6178.184964660442
54174.39107,18.25,0.12,C,6178.184964660442
54174.40058,18.21,0.12,C,6178.184964660442
54185.24481,18.14,0.12,C,6178.184964660442
54185.25352,18.22,0.12,C,6178.184964660442
54185.2622,18.31,0.12,C,6178.184964660442
54185.27089,18.32,0.12,C,6178.184964660442
54235.24248,18.28,0.14,C,6178.184964660442
54235.24637,18.17,0.13,C,6178.184964660442
54235.25027,18.3,0.13,C,6178.184964660442
54235.25415,18.26,0.13,C,6178.184964660442
54270.19128,17.97,0.09,C,6178.184964660442
54270.19933,18.13,0.09,C,6178.184964660442
54270.2074,18.2,0.1,C,6178.184964660442
54270.2155,18.31,0.1,C,6178.184964660442
54392.50585,18.23,0.12,C,6178.184964660442
54392.51023,18.38,0.13,C,6178.184964660442
54392.51463,18.26,0.12,C,6178.184964660442
54392.51897,18.49,0.13,C,6178.184964660442
54422.45192,18.26,0.13,C,6178.184964660442
54422.45903,18.23,0.12,C,6178.184964660442
54422.46611,18.14,0.12,C,6178.184964660442
54422.47327,18.23,0.12,C,6178.184964660442
54451.46318,18.1,0.11,C,6178.184964660442
54451.47063,18.2,0.12,C,6178.184964660442
54451.47808,18.18,0.12,C,6178.184964660442
54451.48547,18.39,0.13,C,6178.184964660442
54478.37024,18.26,0.12,C,6178.184964660442
54478.37733,18.38,0.23,C,6178.184964660442
54480.31701,18.34,0.12,C,6178.184964660442
54480.32533,18.3,0.12,C,6178.184964660442
54480.33363,18.2,0.12,C,6178.184964660442
54480.34191,18.12,0.11,C,6178.184964660442
54497.35745,18.56,0.17,C,6178.184964660442
54497.36297,18.34,0.16,C,6178.184964660442
54497.37098,18.2,0.16,C,6178.184964660442
54497.37647,18.15,0.16,C,6178.184964660442
54504.30639,18.24,0.12,C,6178.184964660442
54504.31312,18.19,0.12,C,6178.184964660442
54504.31982,18.26,0.12,C,6178.184964660442
54504.32655,18.18,0.12,C,6178.184964660442
54514.22023,18.29,0.12,C,6178.184964660442
54514.22577,18.43,0.13,C,6178.184964660442
54514.23128,18.75,0.15,C,6178.184964660442
54514.23678,18.24,0.12,C,6178.184964660442
54525.25253,18.06,0.12,C,6178.184964660442
54525.25962,18.23,0.13,C,6178.184964660442
54525.26671,18.15,0.13,C,6178.184964660442
54525.27377,18.31,0.13,C,6178.184964660442
54532.46401,18.38,0.13,C,6178.184964660442
54532.46842,18.18,0.12,C,6178.184964660442
54532.47591,18.28,0.12,C,6178.184964660442
54532.48339,18.09,0.11,C,6178.184964660442
54532.4909,18.11,0.12,C,6178.184964660442
54557.29645,18.22,0.12,C,6178.184964660442
54557.30455,18.06,0.11,C,6178.184964660442
54557.31263,18.11,0.11,C,6178.184964660442
54557.32076,18.28,0.12,C,6178.184964660442
54566.15659,18.28,0.12,C,6178.184964660442
54566.16542,18.24,0.12,C,6178.184964660442
